phase	ordinal	path	expected_bytes	actual_bytes	expected_sha256	actual_sha256	file_id	reparse_point	match
before	1	tools/native/kira_blackwell_voice_control_anchor_v19.c	106649	106649	f0e06bc9242f3585d79788e666c6481c6055b7a974d683c430377940201c1104	f0e06bc9242f3585d79788e666c6481c6055b7a974d683c430377940201c1104	0x0000000000000000003200000011a74c	false	true
before	2	tools/native/kira_blackwell_voice_control_anchor_v19_identity_anchor.h	13662	13662	6f5a8e10bc4b0c51f9c6458934faf06f34d50a51a515c91877abbfaa0682f903	6f5a8e10bc4b0c51f9c6458934faf06f34d50a51a515c91877abbfaa0682f903	0x0000000000000000000b00000011a7d6	false	true
before	3	tools/native/kira_blackwell_voice_control_anchor_v19.exe	177152	177152	b6b7d2c6ee838ec8cb168f9c93301f9f0f1f0861a1d2d145a7ffc021c2243f19	b6b7d2c6ee838ec8cb168f9c93301f9f0f1f0861a1d2d145a7ffc021c2243f19	0x0000000000000000000a00000011a7ed	false	true
before	4	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v19/candidate_config.json	2045	2045	b70c78e36572ee4a9ef5236f941d7c8021ab7916bc1ef4d06c639b1ebfda759a	b70c78e36572ee4a9ef5236f941d7c8021ab7916bc1ef4d06c639b1ebfda759a	0x00000000000000000012000000047667	false	true
before	5	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v19/native_control_contract.json	8962	8962	0da9a522fb34e644b7e9e67e1ef8c9b0402c2494da7977af29b2c130059187c0	0da9a522fb34e644b7e9e67e1ef8c9b0402c2494da7977af29b2c130059187c0	0x000000000000000000250000000554b3	false	true
before	6	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v19/README.md	2131	2131	55e56ae942030a92a991b69cb5fe61ea1be86249e3876ae15863b0274a4fd0bd	55e56ae942030a92a991b69cb5fe61ea1be86249e3876ae15863b0274a4fd0bd	0x0000000000000000001a000000057dc5	false	true
before	7	tools/native/kira_blackwell_voice_control_anchor_v18.c	98883	98883	3cd9147c9b74ef36608a7471e00900ef7defe1fa0191ec194a3233214e9942d0	3cd9147c9b74ef36608a7471e00900ef7defe1fa0191ec194a3233214e9942d0	0x0000000000000000000400000011a70b	false	true
before	8	tools/native/kira_blackwell_voice_control_anchor_v18_identity_anchor.h	10501	10501	0449bfc2553752f053cb871527c0db923e16618271003282228ff5267258e476	0449bfc2553752f053cb871527c0db923e16618271003282228ff5267258e476	0x0000000000000000000300000011a70c	false	true
before	9	tools/native/kira_blackwell_voice_control_anchor_v18.exe	171520	171520	ab2fecce995655f0bdc190e2f23964b7d81ccebd2849866a050d7de686a6e1a3	ab2fecce995655f0bdc190e2f23964b7d81ccebd2849866a050d7de686a6e1a3	0x0000000000000000000300000011a70e	false	true
before	10	Voice/sidecars/chatterbox_blackwell_persistent_candidate_v18/candidate_config.json	1456	1456	e6b21e01a72256ce5cf7cf223f2c9fcbe06179ce50e625829adbdfe530936cd6	e6b21e01a72256ce5cf7cf223f2c9fcbe06179ce50e625829adbdfe530936cd6	0x0000000000000000003000000011a6e4	false	true
